State,year,loan_status,frequency
AK,2008,0,0.8
AK,2008,3,0.2
AK,2009,0,0.777777777778
AK,2009,3,0.222222222222
AK,2010,0,0.857142857143
AK,2010,3,0.142857142857
AK,2011,0,0.745098039216
AK,2011,3,0.196078431373
AK,2011,1,0.0392156862745
AK,2011,2,0.0196078431373
AK,2012,0,0.831460674157
AK,2012,3,0.101123595506
AK,2012,1,0.061797752809
AK,2012,2,0.00561797752809
AL,2007,0,0.888888888889
AL,2007,3,0.111111111111
AL,2008,0,0.75
AL,2008,3,0.25
AL,2009,0,0.875
AL,2009,3,0.125
AL,2010,0,0.891025641026
AL,2010,3,0.108974358974
AL,2011,0,0.797520661157
AL,2011,3,0.132231404959
AL,2011,1,0.0702479338843
AL,2012,0,0.73381294964
AL,2012,3,0.189928057554
AL,2012,1,0.0719424460432
AL,2012,2,0.00431654676259
AR,2007,0,0.666666666667
AR,2007,3,0.333333333333
AR,2008,0,0.75
AR,2008,3,0.25
AR,2009,0,0.791666666667
AR,2009,3,0.208333333333
AR,2010,0,0.8625
AR,2010,3,0.1375
AR,2011,0,0.828767123288
AR,2011,3,0.102739726027
AR,2011,1,0.0684931506849
AR,2012,0,0.758865248227
AR,2012,3,0.177304964539
AR,2012,1,0.0567375886525
AR,2012,2,0.00709219858156
AZ,2007,0,0.571428571429
AZ,2007,3,0.428571428571
AZ,2008,0,0.716981132075
AZ,2008,3,0.283018867925
AZ,2009,0,0.83064516129
AZ,2009,3,0.16935483871
AZ,2010,0,0.891472868217
AZ,2010,3,0.108527131783
AZ,2011,0,0.785123966942
AZ,2011,3,0.146694214876
AZ,2011,1,0.0640495867769
AZ,2011,2,0.00413223140496
AZ,2012,0,0.785774058577
AZ,2012,3,0.172384937238
AZ,2012,1,0.0410041841004
AZ,2012,2,0.000836820083682
CA,2007,0,0.571428571429
CA,2007,3,0.428571428571
CA,2008,0,0.756578947368
CA,2008,3,0.243421052632
CA,2009,0,0.840985442329
CA,2009,3,0.159014557671
CA,2010,0,0.848758465011
CA,2010,3,0.15079006772
CA,2010,2,0.000451467268623
CA,2011,0,0.794865145228
CA,2011,3,0.165197095436
CA,2011,1,0.0389004149378
CA,2011,2,0.00103734439834
CA,2012,0,0.80483070951
CA,2012,3,0.154518007332
CA,2012,1,0.0383868880742
CA,2012,2,0.00226439508303
CO,2007,0,0.789473684211
CO,2007,3,0.210526315789
CO,2008,0,0.80303030303
CO,2008,3,0.19696969697
CO,2009,0,0.880341880342
CO,2009,3,0.119658119658
CO,2010,0,0.856617647059
CO,2010,3,0.143382352941
CO,2011,0,0.825065274151
CO,2011,3,0.107049608355
CO,2011,1,0.0678851174935
CO,2012,0,0.797202797203
CO,2012,3,0.142857142857
CO,2012,1,0.0549450549451
CO,2012,2,0.004995004995
CT,2007,0,0.833333333333
CT,2007,3,0.166666666667
CT,2008,0,0.809523809524
CT,2008,3,0.190476190476
CT,2009,0,0.89898989899
CT,2009,3,0.10101010101
CT,2010,0,0.892720306513
CT,2010,3,0.107279693487
CT,2011,0,0.786069651741
CT,2011,3,0.144278606965
CT,2011,1,0.0696517412935
CT,2012,0,0.769409038239
CT,2012,3,0.152954808806
CT,2012,1,0.0730011587486
CT,2012,2,0.00463499420626
DC,2007,0,1.0
DC,2008,0,0.636363636364
DC,2008,3,0.363636363636
DC,2009,0,0.888888888889
DC,2009,3,0.111111111111
DC,2010,0,0.984375
DC,2010,3,0.015625
DC,2011,0,0.901785714286
DC,2011,3,0.0714285714286
DC,2011,1,0.0267857142857
DC,2012,0,0.900584795322
DC,2012,3,0.0643274853801
DC,2012,1,0.0350877192982
DE,2007,0,1.0
DE,2008,0,0.625
DE,2008,3,0.375
DE,2009,0,0.869565217391
DE,2009,3,0.130434782609
DE,2010,0,0.875
DE,2010,3,0.125
DE,2011,0,0.910714285714
DE,2011,3,0.0714285714286
DE,2011,1,0.0178571428571
DE,2012,0,0.747899159664
DE,2012,3,0.18487394958
DE,2012,1,0.0672268907563
FL,2007,0,0.611764705882
FL,2007,3,0.388235294118
FL,2008,0,0.672839506173
FL,2008,3,0.327160493827
FL,2009,0,0.825757575758
FL,2009,3,0.174242424242
FL,2010,0,0.842473745624
FL,2010,3,0.157526254376
FL,2011,0,0.764962593516
FL,2011,3,0.178304239401
FL,2011,1,0.0536159600998
FL,2011,2,0.00311720698254
FL,2012,0,0.768806419258
FL,2012,3,0.17703109328
FL,2012,1,0.0531594784353
FL,2012,2,0.00100300902708
GA,2007,0,0.648648648649
GA,2007,3,0.351351351351
GA,2008,0,0.715789473684
GA,2008,3,0.284210526316
GA,2009,0,0.84126984127
GA,2009,3,0.15873015873
GA,2010,0,0.843137254902
GA,2010,3,0.154684095861
GA,2010,2,0.00217864923747
GA,2011,0,0.795297372061
GA,2011,3,0.150760719225
GA,2011,1,0.0539419087137
GA,2012,0,0.7776420281
GA,2012,3,0.156994502138
GA,2012,1,0.0629199755651
GA,2012,2,0.0024434941967
HI,2008,0,0.818181818182
HI,2008,3,0.181818181818
HI,2009,0,0.777777777778
HI,2009,3,0.222222222222
HI,2010,0,0.772727272727
HI,2010,3,0.227272727273
HI,2011,0,0.792452830189
HI,2011,3,0.132075471698
HI,2011,1,0.0754716981132
HI,2012,0,0.790476190476
HI,2012,3,0.171428571429
HI,2012,1,0.0380952380952
IA,2008,0,0.818181818182
IA,2008,3,0.181818181818
IA,2010,0,1.0
ID,2008,0,0.888888888889
ID,2008,3,0.111111111111
IL,2007,0,0.666666666667
IL,2007,3,0.333333333333
IL,2008,0,0.789473684211
IL,2008,3,0.210526315789
IL,2009,0,0.866028708134
IL,2009,3,0.133971291866
IL,2010,0,0.88605108055
IL,2010,3,0.11394891945
IL,2011,0,0.797897196262
IL,2011,3,0.147196261682
IL,2011,1,0.0549065420561
IL,2012,0,0.80654616512
IL,2012,3,0.127015144113
IL,2012,1,0.0635075720567
IL,2012,2,0.00293111871031
IN,2007,0,0.631578947368
IN,2007,3,0.368421052632
IN,2012,0,0.5
IN,2012,3,0.346153846154
IN,2012,1,0.153846153846
KS,2007,0,1.0
KS,2008,0,0.884615384615
KS,2008,3,0.115384615385
KS,2009,0,0.854166666667
KS,2009,3,0.145833333333
KS,2010,0,0.892857142857
KS,2010,3,0.107142857143
KS,2011,0,0.79057591623
KS,2011,3,0.120418848168
KS,2011,1,0.0890052356021
KS,2012,0,0.800399201597
KS,2012,3,0.12375249501
KS,2012,1,0.0698602794411
KS,2012,2,0.0059880239521
KY,2007,0,1.0
KY,2008,0,0.857142857143
KY,2008,3,0.142857142857
KY,2009,0,0.945945945946
KY,2009,3,0.0540540540541
KY,2010,0,0.843137254902
KY,2010,3,0.156862745098
KY,2011,0,0.751219512195
KY,2011,3,0.170731707317
KY,2011,1,0.0682926829268
KY,2011,2,0.00975609756098
KY,2012,0,0.786026200873
KY,2012,3,0.133187772926
KY,2012,1,0.0807860262009
LA,2007,0,0.875
LA,2007,3,0.125
LA,2008,0,0.947368421053
LA,2008,3,0.0526315789474
LA,2009,0,0.901960784314
LA,2009,3,0.0980392156863
LA,2010,0,0.81679389313
LA,2010,3,0.18320610687
LA,2011,0,0.857142857143
LA,2011,3,0.107142857143
LA,2011,1,0.0357142857143
LA,2012,0,0.776758409786
LA,2012,3,0.162079510703
LA,2012,1,0.0581039755352
LA,2012,2,0.00305810397554
MA,2007,0,0.865384615385
MA,2007,3,0.134615384615
MA,2008,0,0.861538461538
MA,2008,3,0.138461538462
MA,2009,0,0.90625
MA,2009,3,0.09375
MA,2010,0,0.872117400419
MA,2010,3,0.127882599581
MA,2011,0,0.792944785276
MA,2011,3,0.134969325153
MA,2011,1,0.069018404908
MA,2011,2,0.00306748466258
MA,2012,0,0.777696793003
MA,2012,3,0.147959183673
MA,2012,1,0.0706997084548
MA,2012,2,0.0036443148688
MD,2007,0,0.521739130435
MD,2007,3,0.478260869565
MD,2008,0,0.806451612903
MD,2008,3,0.193548387097
MD,2009,0,0.901408450704
MD,2009,3,0.0985915492958
MD,2010,0,0.847701149425
MD,2010,3,0.152298850575
MD,2011,0,0.769090909091
MD,2011,3,0.172727272727
MD,2011,1,0.0545454545455
MD,2011,2,0.00363636363636
MD,2012,0,0.780879864636
MD,2012,3,0.156514382403
MD,2012,1,0.0609137055838
MD,2012,2,0.00169204737733
ME,2007,0,1.0
MI,2008,0,0.811320754717
MI,2008,3,0.188679245283
MI,2009,0,0.861788617886
MI,2009,3,0.138211382114
MI,2010,0,0.864541832669
MI,2010,3,0.135458167331
MI,2011,0,0.785907859079
MI,2011,3,0.165311653117
MI,2011,1,0.0487804878049
MI,2012,0,0.761786600496
MI,2012,3,0.172870140612
MI,2012,1,0.0628618693135
MI,2012,2,0.00248138957816
MN,2008,0,0.868421052632
MN,2008,3,0.131578947368
MN,2009,0,0.8875
MN,2009,3,0.1125
MN,2010,0,0.835897435897
MN,2010,3,0.164102564103
MN,2011,0,0.83185840708
MN,2011,3,0.135693215339
MN,2011,1,0.0294985250737
MN,2011,2,0.00294985250737
MN,2012,0,0.780790960452
MN,2012,3,0.144632768362
MN,2012,1,0.0723163841808
MN,2012,2,0.00225988700565
MO,2007,0,0.5
MO,2007,3,0.5
MO,2008,0,0.894736842105
MO,2008,3,0.105263157895
MO,2009,0,0.808219178082
MO,2009,3,0.191780821918
MO,2010,0,0.786324786325
MO,2010,3,0.213675213675
MO,2011,0,0.808564231738
MO,2011,3,0.151133501259
MO,2011,1,0.0403022670025
MO,2012,0,0.758293838863
MO,2012,3,0.159952606635
MO,2012,1,0.0793838862559
MO,2012,2,0.00236966824645
MS,2008,0,0.666666666667
MS,2008,3,0.333333333333
MS,2009,0,0.846153846154
MS,2009,3,0.153846153846
MS,2011,0,1.0
MS,2012,0,1.0
MT,2007,3,1.0
MT,2008,0,0.8
MT,2008,3,0.2
MT,2009,0,0.714285714286
MT,2009,3,0.285714285714
MT,2010,0,0.96
MT,2010,3,0.04
MT,2011,0,0.78431372549
MT,2011,3,0.176470588235
MT,2011,1,0.0392156862745
MT,2012,0,0.80981595092
MT,2012,3,0.141104294479
MT,2012,1,0.0490797546012
NC,2007,0,0.69696969697
NC,2007,3,0.30303030303
NC,2008,0,0.826086956522
NC,2008,3,0.173913043478
NC,2010,0,0.831460674157
NC,2010,3,0.168539325843
NC,2011,0,0.800302571861
NC,2011,3,0.14069591528
NC,2011,1,0.0574886535552
NC,2011,2,0.00151285930408
NC,2012,0,0.77959697733
NC,2012,3,0.156171284635
NC,2012,1,0.0629722921914
NC,2012,2,0.00125944584383
NE,2007,0,0.5
NE,2007,3,0.5
NE,2008,3,0.666666666667
NE,2008,0,0.333333333333
NE,2012,3,1.0
NH,2007,0,1.0
NH,2008,0,0.727272727273
NH,2008,3,0.272727272727
NH,2009,0,0.8
NH,2009,3,0.2
NH,2010,0,0.892857142857
NH,2010,3,0.107142857143
NH,2011,0,0.788888888889
NH,2011,3,0.144444444444
NH,2011,1,0.0666666666667
NH,2012,0,0.823293172691
NH,2012,3,0.10843373494
NH,2012,1,0.0602409638554
NH,2012,2,0.00803212851406
NJ,2007,0,0.777777777778
NJ,2007,3,0.222222222222
NJ,2008,0,0.863157894737
NJ,2008,3,0.136842105263
NJ,2009,0,0.861924686192
NJ,2009,3,0.138075313808
NJ,2010,0,0.838235294118
NJ,2010,3,0.161764705882
NJ,2011,0,0.785140562249
NJ,2011,3,0.149598393574
NJ,2011,1,0.0632530120482
NJ,2011,2,0.00200803212851
NJ,2012,0,0.765714285714
NJ,2012,3,0.172857142857
NJ,2012,1,0.06
NJ,2012,2,0.00142857142857
NM,2007,0,1.0
NM,2008,0,0.933333333333
NM,2008,3,0.0666666666667
NM,2009,0,0.896551724138
NM,2009,3,0.103448275862
NM,2010,0,0.830769230769
NM,2010,3,0.169230769231
NM,2011,0,0.728260869565
NM,2011,3,0.195652173913
NM,2011,1,0.0760869565217
NM,2012,0,0.776978417266
NM,2012,3,0.169064748201
NM,2012,1,0.0503597122302
NM,2012,2,0.00359712230216
NV,2007,3,1.0
NV,2008,0,0.586206896552
NV,2008,3,0.413793103448
NV,2009,0,0.712121212121
NV,2009,3,0.287878787879
NV,2010,0,0.782258064516
NV,2010,3,0.217741935484
NV,2011,0,0.728758169935
NV,2011,3,0.209150326797
NV,2011,1,0.0588235294118
NV,2011,2,0.00326797385621
NV,2012,0,0.77904040404
NV,2012,3,0.17297979798
NV,2012,1,0.0467171717172
NV,2012,2,0.00126262626263
NY,2007,0,0.782178217822
NY,2007,3,0.217821782178
NY,2008,0,0.814606741573
NY,2008,3,0.185393258427
NY,2009,0,0.899803536346
NY,2009,3,0.100196463654
NY,2010,0,0.878714859438
NY,2010,3,0.121285140562
NY,2011,0,0.796743956586
NY,2011,3,0.144548593981
NY,2011,1,0.0572274296991
NY,2011,2,0.0014800197336
NY,2012,0,0.772380019589
NY,2012,3,0.169245837414
NY,2012,1,0.0532810969638
NY,2012,2,0.0050930460333
OH,2007,0,1.0
OH,2008,0,0.906666666667
OH,2008,3,0.0933333333333
OH,2009,0,0.913978494624
OH,2009,3,0.0860215053763
OH,2010,0,0.883597883598
OH,2010,3,0.116402116402
OH,2011,0,0.776162790698
OH,2011,3,0.154069767442
OH,2011,1,0.0683139534884
OH,2011,2,0.00145348837209
OH,2012,0,0.775128865979
OH,2012,3,0.151417525773
OH,2012,1,0.0708762886598
OH,2012,2,0.00257731958763
OK,2008,0,0.866666666667
OK,2008,3,0.133333333333
OK,2009,0,0.805555555556
OK,2009,3,0.194444444444
OK,2010,0,0.894117647059
OK,2010,3,0.105882352941
OK,2011,0,0.790055248619
OK,2011,3,0.138121546961
OK,2011,1,0.0662983425414
