purpose,loan_status_encoded,0
car,0,0.872483221477
car,1,0.127516778523
credit_card,0,0.783420138889
credit_card,1,0.216579861111
debt_consolidation,0,0.744740302433
debt_consolidation,1,0.255259697567
educational,0,0.588235294118
educational,1,0.411764705882
home_improvement,0,0.820698747528
home_improvement,1,0.179301252472
house,0,0.735294117647
house,1,0.264705882353
major_purchase,0,0.795454545455
major_purchase,1,0.204545454545
medical,0,0.783783783784
medical,1,0.216216216216
moving,0,0.777777777778
moving,1,0.222222222222
other,0,0.73935483871
other,1,0.26064516129
renewable_energy,0,0.78125
renewable_energy,1,0.21875
small_business,0,0.626251390434
small_business,1,0.373748609566
vacation,0,0.675675675676
vacation,1,0.324324324324
wedding,0,0.824503311258
wedding,1,0.175496688742
