,Importance
dti,0.0732464577849
revol_bal,0.0730746249161
magnitude_ann_inc_to_median,0.0723434104166
diff_earliest_app_date,0.0692908655215
revol_util,0.0688816254075
annual_inc,0.0666061954238
median_est_income_hh,0.0664089872876
work_prop,0.0660889281102
amnt_request,0.0610640375061
int_rate,0.050589196493
open_acc,0.0489322789837
Risk_Score,0.0360704049793
inq_last_6mths,0.0302667869915
sub_grade_encoded,0.0249060469959
delinq_2yrs,0.0133848635918
ever_delinq_dummy,0.0109961556894
verification_status_Verified,0.0102918286697
debt_consolidation,0.00981519606541
verification_status_Source Verified,0.00979219764077
emp_length_10,0.00975929710956
RENT,0.00944373749195
MORTGAGE,0.00916980128465
emp_length_2,0.00699611183158
other,0.00639591209098
emp_length_3,0.00637648866011
credit_card,0.00631519851529
emp_length_4,0.00614825814989
emp_length_1,0.00597081343326
emp_length_5,0.00573499868651
emp_length_6,0.00573358665573
OWN,0.00561592029385
emp_length_7,0.00551458622209
small_business,0.00548403444181
derog_record_present,0.00541896734524
public_record_ind,0.00482462869384
emp_length_8,0.00433238163993
pub_rec,0.00423921613531
emp_length_n/a,0.00421185813922
emp_length_9,0.00375494159087
home_improvement,0.00285974814831
medical,0.00264367933434
major_purchase,0.00259771902638
wedding,0.00185129570119
moving,0.00156030316095
house,0.0014929506747
educational,0.00148278187888
OTHER,0.000941269280358
vacation,0.000541210715241
renewable_energy,0.00040534199682
NONE,0.000132873196301
