,Importance
revol_bal,0.0696962668803
median_est_income_hh,0.0683610298596
dti,0.0679233562686
work_prop,0.067240457979
revol_util,0.0669469291263
diff_earliest_app_date,0.0668545123393
magnitude_ann_inc_to_median,0.0668004479967
annual_inc,0.0653756398056
int_rate,0.0614369934262
amnt_request,0.0567799062804
open_acc,0.0464305771769
Risk_Score,0.042331667982
inq_last_6mths,0.0327502110184
sub_grade_encoded,0.0269727513944
delinq_2yrs,0.011437028588
emp_length_10,0.0111822978807
ever_delinq_dummy,0.0107776317662
verification_status_Verified,0.0100494210743
debt_consolidation,0.0095675882502
RENT,0.00952420530726
small_business,0.00939445649713
MORTGAGE,0.00912624169411
verification_status_Source Verified,0.00800348402805
public_record_ind,0.0077885290222
pub_rec,0.00688990551639
emp_length_2,0.00677775502773
emp_length_4,0.00662049643906
emp_length_1,0.00651537241543
other,0.006164845126
emp_length_5,0.00589752039725
emp_length_3,0.00576492735156
credit_card,0.00560335742047
emp_length_9,0.00497920535864
OWN,0.00479958284496
emp_length_6,0.00402389247568
home_improvement,0.00373428821596
emp_length_n/a,0.00356191812453
emp_length_8,0.00324616851208
emp_length_7,0.00322312917754
derog_record_present,0.00320234136642
wedding,0.00266776293209
educational,0.00239530201883
medical,0.00233917745838
major_purchase,0.00231294942222
moving,0.00222133376952
vacation,0.00177549453808
house,0.00155781432027
renewable_energy,0.000553143175448
OTHER,0.000420684953387
NONE,0.0
