sub_grade,dtbag_pred,ensemble_pred,et_pred,gradient_pred,logreg_pred,svc_pred,all_loans_returns,dtbag_count,ensemble_count,et count,gradient_count,logreg_count,svc_count,count_total_loans
F1,0.149898988847,0.101799733528,0.14264650965,0.042974837443,0.133379721314,0.149750809755,0.0361665001227,16,19,15,19,15,16,23
F2,0.220310567872,0.162739567871,0.217287505973,0.151674283195,0.220310567872,0.217287505973,0.158330955921,15,17,14,17,15,14,18
F3,-0.215732907476,-0.122186568624,-0.143304994234,-0.183503389677,-0.155015262701,-0.147637171792,-0.231412465895,12,12,10,12,11,11,16
F4,0.223868989711,0.214057750133,0.223868989711,0.214057750133,0.214057750133,0.223868989711,0.232044213683,11,10,11,10,10,11,12
F5,0.00332706969743,-0.0439693454067,-0.0439693454067,0.004943341937,0.00332706969743,0.00699833370721,-0.0718182925893,7,6,6,7,7,8,11
G1,0.0362127873281,0.00237261116166,0.176396431764,-0.0549930184148,0.00598732382265,0.177148727356,-0.0549930184148,5,7,3,9,4,5,9
G2,0.287869603568,0.287869603568,0.236156666667,0.289737275962,0.287869603568,0.287869603568,0.288166830579,3,3,1,4,3,3,5
G3,0.197913211389,0.0620402585295,0.21489107183,0.0620402585295,-0.0385580914585,0.21489107183,0.0620402585295,3,6,3,6,4,3,6
G4,0.35766021524,0.35766021524,0.35766021524,0.35766021524,0.35766021524,0.35766021524,0.208549636205,1,1,1,1,1,1,3
G5,0.23484757915,0.255768953899,0.218821798462,0.0812483149064,0.333695247133,0.218821798462,0.00967032699191,5,7,4,9,4,4,11
