,Importance
revol_util,0.0711221498571
work_prop,0.0636010382968
diff_earliest_app_date,0.0614234320668
revol_bal,0.0611946668338
median_est_income_hh,0.0607570458147
magnitude_ann_inc_to_median,0.059253368339
dti,0.0591979401947
annual_inc,0.0564542048768
int_rate,0.054666385094
amnt_request,0.0531170682738
inq_last_6mths,0.0486423451273
open_acc,0.047877860143
sub_grade_encoded,0.0390520569459
Risk_Score,0.0383988905218
public_record_ind,0.0268651630329
debt_consolidation,0.0189757276617
pub_rec,0.0143088257806
small_business,0.0132667383764
delinq_2yrs,0.0122778455044
RENT,0.0101741019197
verification_status_Verified,0.00952871850217
ever_delinq_dummy,0.00951235578455
MORTGAGE,0.00903560691818
emp_length_1,0.00849426799017
emp_length_3,0.00832767420029
emp_length_10,0.00730266041063
other,0.00694322556299
emp_length_2,0.00586831200184
emp_length_6,0.00546761122524
emp_length_4,0.00545989183084
verification_status_Source Verified,0.00519212756528
credit_card,0.0051844959911
emp_length_5,0.00510838331218
emp_length_7,0.00491564954281
OWN,0.00454623227999
home_improvement,0.00426439675091
emp_length_9,0.00357725555921
medical,0.00314186962071
emp_length_8,0.00299888462063
major_purchase,0.00284946787895
emp_length_n/a,0.00239213702996
educational,0.00229006337613
OTHER,0.00208610817946
house,0.00148535150251
wedding,0.00125540032519
derog_record_present,0.00121239325001
moving,0.000542097727007
NONE,0.000390506399854
vacation,0.0
renewable_energy,0.0
