,mean_cv_recall,mean_cv_roc_auc,test_roc_auc,pred_default_rate,act_default_rate,observed_default_rate
Voting Untuned,0.404433497537,0.647136273864,0.670524412297,0.19298245614,0.30701754386,0.271739130435
Gradient Exp,0.34039408867,0.618502732943,0.65027124774,0.184210526316,0.30701754386,0.258064516129
Gradient DT,0.255418719212,0.600767481631,0.646292947559,0.166666666667,0.30701754386,0.284210526316
Bagged DT,0.503448275862,0.622612552622,0.640867992767,0.271929824561,0.30701754386,0.240963855422
Opt Logistic Regression L1,0.66724137931,0.666708032861,0.638336347197,0.368421052632,0.30701754386,0.236111111111
Gradient Deviance,0.31921182266,0.629067129262,0.637613019892,0.175438596491,0.30701754386,0.276595744681
Opt Logistic Regression L2,0.674384236453,0.665398124396,0.630018083183,0.350877192982,0.30701754386,0.243243243243
gs_Gradient,0.375615763547,0.641941096053,0.630018083183,0.175438596491,0.30701754386,0.287234042553
Logistic Regression L1,0.631527093596,0.654272572952,0.625316455696,0.359649122807,0.30701754386,0.246575342466
Logistic Regression L2,0.631527093596,0.654385951637,0.625316455696,0.359649122807,0.30701754386,0.246575342466
Random Forest,0.461330049261,0.641577439281,0.624231464738,0.254385964912,0.30701754386,0.258823529412
SVC,0.531527093596,0.671604314696,0.623869801085,0.333333333333,0.30701754386,0.223684210526
gs_bagdt,0.467980295567,0.65947178649,0.623869801085,0.315789473684,0.30701754386,0.24358974359
DT,0.44039408867,0.571311030901,0.619891500904,0.350877192982,0.30701754386,0.243243243243
AdaBoost with LogReg,0.631527093596,0.651261668924,0.619891500904,0.359649122807,0.30701754386,0.246575342466
Extra Trees,0.510837438424,0.657499640568,0.616455696203,0.412280701754,0.30701754386,0.238805970149
gs_Random Forest,0.574384236453,0.646418545171,0.615551537071,0.368421052632,0.30701754386,0.25
gs_Extra Trees,0.589162561576,0.659457850623,0.612296564195,0.40350877193,0.30701754386,0.235294117647
gs_dt,0.446798029557,0.635087360862,0.602893309222,0.280701754386,0.30701754386,0.280487804878
AdaBoost,0.312315270936,0.614860553046,0.529837251356,0.149122807018,0.30701754386,0.309278350515
gs_AdaBoost,0.375369458128,0.613208049256,0.512477396022,0.175438596491,0.30701754386,0.287234042553
