,mean_cv_recall,mean_cv_roc_auc,test_roc_auc,pred_default_rate,act_default_rate,observed_default_rate
lr_l1,0.602296337403,0.579500749897,0.577328998194,0.514747859182,0.168093878846,0.141176470588
lr_l2,0.602296337403,0.579498048507,0.577321085607,0.515065017444,0.168093878846,0.141268803139
svm_1,0.616437291898,0.58418607771,0.576808925399,0.510941960038,0.168093878846,0.137483787289
svm,0.566471698113,0.584983331329,0.575706198433,0.463685379004,0.168093878846,0.142519219397
voting_untuned,0.00517980022198,0.585343899284,0.574924290924,0.00317158261973,0.168093878846,0.167674196627
svm_100,0.571173140954,0.583200492986,0.571402110503,0.462416745956,0.168093878846,0.142772861357
svm_01,0.716334073252,0.581952263669,0.571395996231,0.588328575959,0.168093878846,0.140986132512
rf,0.451950055494,0.57226099652,0.56242671865,0.397399302252,0.168093878846,0.143157894737
et,0.582495005549,0.566460702409,0.560061214654,0.505867427846,0.168093878846,0.141848523748
dt_bagged,0.341214206437,0.570787640026,0.544318402521,0.267998731367,0.168093878846,0.155112651646
adaboost,0.0117846836848,0.53796357691,0.525192959236,0.00951474785918,0.168093878846,0.168107588857
dt,0.484894561598,0.541380376303,0.519338363821,0.410085632731,0.168093878846,0.156989247312
