,roc_auc,predicted_default,actual_default,observed_default
adaboost_lr,0.561224981915,0.188581314879,0.247404844291,0.223880597015
lrl1,0.549312756209,0.242214532872,0.247404844291,0.239726027397
lrl2,0.545036572623,0.0,0.247404844291,0.247404844291
adaboost,0.52981271602,0.155709342561,0.247404844291,0.241803278689
rf,0.520231492645,0.038062283737,0.247404844291,0.244604316547
svm,0.519186560566,0.122837370242,0.247404844291,0.248520710059
et,0.516421509525,0.0415224913495,0.247404844291,0.245487364621
dtbag,0.505088015433,0.00346020761246,0.247404844291,0.244791666667
voting,0.502757013102,0.0,0.247404844291,0.247404844291
dt,0.481850333574,0.544982698962,0.247404844291,0.262357414449
