,mean_cv_recall,mean_cv_roc_auc,test_roc_auc,pred_default_rate,act_default_rate,observed_default_rate
dt,0.651724137931,0.606315186438,0.526401446655,0.587719298246,0.30701754386,0.276595744681
adaboost,0.255418719212,0.561868062019,0.53417721519,0.157894736842,0.30701754386,0.3125
dt_bagged,0.503201970443,0.603543178488,0.541410488246,0.385964912281,0.30701754386,0.285714285714
adaboost_lr,0.552955665025,0.56383598304,0.546473779385,0.429824561404,0.30701754386,0.292307692308
voting_untuned,0.375123152709,0.625202732187,0.549005424955,0.263157894737,0.30701754386,0.285714285714
rf,0.404433497537,0.597097429999,0.550090415913,0.30701754386,0.30701754386,0.291139240506
lr_l1,0.481773399015,0.566320477023,0.556600361664,0.394736842105,0.30701754386,0.275362318841
svm_C_1,0.375369458128,0.584187835312,0.564918625678,0.280701754386,0.30701754386,0.268292682927
svm_C_100,0.509852216749,0.583362403174,0.571790235081,0.324561403509,0.30701754386,0.25974025974
svm,0.453448275862,0.577916379752,0.573960216998,0.324561403509,0.30701754386,0.25974025974
et,0.531527093596,0.55783063318,0.578481012658,0.429824561404,0.30701754386,0.261538461538
lr_l2,0.908128078818,0.555061746612,0.578842676311,0.868421052632,0.30701754386,0.2
